mass, isoelectric point, gravy, length, type
4322.092016,4.120789,-0.276,38,acid
2643.29358,7.091858,-0.612,25,basic
7205.688792,3.94989,0.739,67,acid
1212.569639,4.389099,0.182,11,acid
621.279211,6.000671,-0.817,6,neutral
1556.735853,4.15155,-0.7,13,acid
6157.587484,3.278259,-0.9,53,acid
846.408311,4.258362,-1.443,7,acid
952.53418,6.063049,-1.237,8,neutral
819.416039,5.998108,-0.029,7,neutral
1230.577702,8.318909,0.936,11,basic
1147.558163,11.200256,-1.736,11,basic
936.430109,6.000671,-1.587,8,neutral
1924.848608,6.899597,-0.876,17,neutral
1970.965929,5.856262,0.468,19,neutral
615.359176,6.000671,-0.44,5,neutral
2785.272752,4.167786,-0.352,25,acid
1233.58907,8.565002,-0.664,11,basic
761.319162,4.15155,-3.567,6,acid
1261.591378,8.358215,0.08,10,basic
602.338775,6.000671,-0.16,5,neutral
1806.79167,5.998108,-0.194,17,neutral
1269.704099,5.858826,0.446,13,neutral
3158.515636,3.852478,-0.239,31,acid
3291.839223,8.358215,1.063,30,basic
1215.624786,6.000671,-0.445,11,neutral
882.430778,6.905579,-0.556,9,neutral
1163.482992,3.836243,-1.97,10,acid
598.286346,8.548767,-0.76,5,basic
970.581131,6.000671,1.222,9,neutral
622.332627,6.000671,-0.18,5,neutral
1780.994985,8.512878,0.94,15,basic
1076.543699,8.499207,0.77,10,basic
1245.606359,8.512878,0.118,11,basic
775.401058,8.499207,0.129,7,basic
2856.435147,8.401794,0.979,24,basic
1077.581859,8.950378,0.2,10,basic
