mass, isoelectric point, gravy, length, type
0.6,9,0.5,5,virginica
0.7,9.8,-0.7,5,virginica
0.6,9.8,-1.8,5,virginica
0.6,6,-3,5,setosa
1.5,8.5,0,16,virginica
1.1,5.9,-1.2,10,setosa
0.7,6,1,7,setosa
1,6,0.2,8,setosa
0.7,9.8,-0.3,6,virginica
0.5,5.7,-0.5,5,setosa
0.9,6,-0.5,7,setosa
0.8,9,-1.5,7,virginica
1.2,8.5,-0.5,11,virginica
0.8,9.8,1.1,6,virginica
1.4,5.9,0.6,12,setosa
0.7,8.5,-1,6,virginica
0.8,6.9,-1.2,9,setosa
1.5,6.3,-0.9,14,setosa
1.1,6,-0.4,10,setosa
2.2,5.4,-0.6,20,setosa
0.5,9,2.1,5,virginica
2.7,6.5,-1.8,23,setosa
2.7,7.2,-0,23,virginica
0.6,9.8,-1.6,5,virginica
0.7,9.8,0.6,6,virginica
1.1,9.8,-0,10,virginica
0.8,8.5,0.5,7,virginica
0.7,11.2,-2.3,5,virginica
1,8.5,-1.3,8,virginica
1.1,9.8,0.4,9,virginica
0.8,9.8,-0.1,7,virginica
0.7,9.8,-0.3,6,virginica
1.5,11.2,-0.5,14,virginica
1.3,8.4,0.3,10,virginica
2.2,7.1,-0,19,virginica
0.9,8.5,0.8,8,virginica
3.2,9,1.9,33,virginica
0.7,9.8,-0.9,8,virginica
1.2,8.4,-0.3,10,virginica
0.8,8.5,-1.5,7,virginica
1.8,9,0.1,15,virginica
0.9,9,0.9,8,virginica
0.8,8.5,1.4,7,virginica
3,7.1,-1.4,25,virginica
